09/04/2017 06:14:32 PM root   INFO: Event : Gifting Details

09/04/2017 06:14:32 PM root   INFO: Pdhasjg has given Whxnzem gifts of following type,price and value:-
09/04/2017 06:14:32 PM root   INFO:  8 . Type :- Essential , Price :- 4 , Value :- 27
09/04/2017 06:14:32 PM root   INFO:  9 . Type :- Essential , Price :- 4 , Value :- 20
09/04/2017 06:14:32 PM root   INFO:  10 . Type :- Luxury , Price :- 5 , Value :- 11
09/04/2017 06:14:32 PM root   INFO:  11 . Type :- Essential , Price :- 5 , Value :- 12
09/04/2017 06:14:32 PM root   INFO:  12 . Type :- Utility , Price :- 6 , Value :- 24
09/04/2017 06:14:32 PM root   INFO:  13 . Type :- Utility , Price :- 6 , Value :- 2
09/04/2017 06:14:32 PM root   INFO:  14 . Type :- Luxury , Price :- 7 , Value :- 42
09/04/2017 06:14:32 PM root   INFO:  15 . Type :- Essential , Price :- 7 , Value :- 23
09/04/2017 06:14:32 PM root   INFO:  16 . Type :- Utility , Price :- 7 , Value :- 24
09/04/2017 06:14:32 PM root   INFO:  17 . Type :- Essential , Price :- 7 , Value :- 1
09/04/2017 06:14:32 PM root   INFO:  18 . Type :- Utility , Price :- 7 , Value :- 44
09/04/2017 06:14:32 PM root   INFO:  19 . Type :- Essential , Price :- 8 , Value :- 9
09/04/2017 06:14:32 PM root   INFO: Fcfkqxy has given Nidzdlm gifts of following type,price and value:-
09/04/2017 06:14:32 PM root   INFO:  1 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  2 . Type :- Luxury , Price :- 1 , Value :- 7
09/04/2017 06:14:32 PM root   INFO:  3 . Type :- Utility , Price :- 1 , Value :- 22
09/04/2017 06:14:32 PM root   INFO:  4 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  5 . Type :- Utility , Price :- 3 , Value :- 35
09/04/2017 06:14:32 PM root   INFO:  6 . Type :- Utility , Price :- 4 , Value :- 26
09/04/2017 06:14:32 PM root   INFO:  7 . Type :- Essential , Price :- 4 , Value :- 29
09/04/2017 06:14:32 PM root   INFO:  8 . Type :- Essential , Price :- 4 , Value :- 27
09/04/2017 06:14:32 PM root   INFO:  9 . Type :- Essential , Price :- 4 , Value :- 20
09/04/2017 06:14:32 PM root   INFO:  10 . Type :- Luxury , Price :- 5 , Value :- 11
09/04/2017 06:14:32 PM root   INFO: Fwnvfck has given Hwuxpkr gifts of following type,price and value:-
09/04/2017 06:14:32 PM root   INFO:  1 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  2 . Type :- Luxury , Price :- 1 , Value :- 7
09/04/2017 06:14:32 PM root   INFO:  3 . Type :- Utility , Price :- 1 , Value :- 22
09/04/2017 06:14:32 PM root   INFO:  4 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  5 . Type :- Utility , Price :- 3 , Value :- 35
09/04/2017 06:14:32 PM root   INFO:  6 . Type :- Utility , Price :- 4 , Value :- 26
09/04/2017 06:14:32 PM root   INFO:  7 . Type :- Essential , Price :- 4 , Value :- 29
09/04/2017 06:14:32 PM root   INFO:  8 . Type :- Essential , Price :- 4 , Value :- 27
09/04/2017 06:14:32 PM root   INFO:  9 . Type :- Essential , Price :- 4 , Value :- 20
09/04/2017 06:14:32 PM root   INFO:  10 . Type :- Luxury , Price :- 5 , Value :- 11
09/04/2017 06:14:32 PM root   INFO:  11 . Type :- Essential , Price :- 5 , Value :- 12
09/04/2017 06:14:32 PM root   INFO:  12 . Type :- Utility , Price :- 6 , Value :- 24
09/04/2017 06:14:32 PM root   INFO:  13 . Type :- Utility , Price :- 6 , Value :- 2
09/04/2017 06:14:32 PM root   INFO:  14 . Type :- Luxury , Price :- 7 , Value :- 42
09/04/2017 06:14:32 PM root   INFO: Rxuaxdb has given Nayirlw gifts of following type,price and value:-
09/04/2017 06:14:32 PM root   INFO:  1 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  2 . Type :- Luxury , Price :- 1 , Value :- 7
09/04/2017 06:14:32 PM root   INFO:  3 . Type :- Utility , Price :- 1 , Value :- 22
09/04/2017 06:14:32 PM root   INFO:  4 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  5 . Type :- Utility , Price :- 3 , Value :- 35
09/04/2017 06:14:32 PM root   INFO:  6 . Type :- Utility , Price :- 4 , Value :- 26
09/04/2017 06:14:32 PM root   INFO:  7 . Type :- Essential , Price :- 4 , Value :- 29
09/04/2017 06:14:32 PM root   INFO:  8 . Type :- Essential , Price :- 4 , Value :- 27
09/04/2017 06:14:32 PM root   INFO:  9 . Type :- Essential , Price :- 4 , Value :- 20
09/04/2017 06:14:32 PM root   INFO:  10 . Type :- Luxury , Price :- 5 , Value :- 11
09/04/2017 06:14:32 PM root   INFO:  11 . Type :- Essential , Price :- 5 , Value :- 12
09/04/2017 06:14:32 PM root   INFO:  12 . Type :- Utility , Price :- 6 , Value :- 24
09/04/2017 06:14:32 PM root   INFO:  13 . Type :- Utility , Price :- 6 , Value :- 2
09/04/2017 06:14:32 PM root   INFO:  14 . Type :- Luxury , Price :- 7 , Value :- 42
09/04/2017 06:14:32 PM root   INFO:  15 . Type :- Essential , Price :- 7 , Value :- 23
09/04/2017 06:14:32 PM root   INFO:  16 . Type :- Utility , Price :- 7 , Value :- 24
09/04/2017 06:14:32 PM root   INFO: Esuxirt has given Wotmxpf gifts of following type,price and value:-
09/04/2017 06:14:32 PM root   INFO:  1 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  2 . Type :- Luxury , Price :- 1 , Value :- 7
09/04/2017 06:14:32 PM root   INFO:  3 . Type :- Utility , Price :- 1 , Value :- 22
09/04/2017 06:14:32 PM root   INFO:  4 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  5 . Type :- Utility , Price :- 3 , Value :- 35
09/04/2017 06:14:32 PM root   INFO:  6 . Type :- Utility , Price :- 4 , Value :- 26
09/04/2017 06:14:32 PM root   INFO:  7 . Type :- Essential , Price :- 4 , Value :- 29
09/04/2017 06:14:32 PM root   INFO:  8 . Type :- Essential , Price :- 4 , Value :- 27
09/04/2017 06:14:32 PM root   INFO:  9 . Type :- Essential , Price :- 4 , Value :- 20
09/04/2017 06:14:32 PM root   INFO:  10 . Type :- Luxury , Price :- 5 , Value :- 11
09/04/2017 06:14:32 PM root   INFO:  11 . Type :- Essential , Price :- 5 , Value :- 12
09/04/2017 06:14:32 PM root   INFO:  12 . Type :- Utility , Price :- 6 , Value :- 24
09/04/2017 06:14:32 PM root   INFO:  13 . Type :- Utility , Price :- 6 , Value :- 2
09/04/2017 06:14:32 PM root   INFO:  14 . Type :- Luxury , Price :- 7 , Value :- 42
09/04/2017 06:14:32 PM root   INFO: Thxaixr has given Hdamlte gifts of following type,price and value:-
09/04/2017 06:14:32 PM root   INFO:  1 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  2 . Type :- Luxury , Price :- 1 , Value :- 7
09/04/2017 06:14:32 PM root   INFO:  3 . Type :- Utility , Price :- 1 , Value :- 22
09/04/2017 06:14:32 PM root   INFO:  4 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  5 . Type :- Utility , Price :- 3 , Value :- 35
09/04/2017 06:14:32 PM root   INFO:  6 . Type :- Utility , Price :- 4 , Value :- 26
09/04/2017 06:14:32 PM root   INFO:  7 . Type :- Essential , Price :- 4 , Value :- 29
09/04/2017 06:14:32 PM root   INFO:  8 . Type :- Essential , Price :- 4 , Value :- 27
09/04/2017 06:14:32 PM root   INFO:  9 . Type :- Essential , Price :- 4 , Value :- 20
09/04/2017 06:14:32 PM root   INFO:  10 . Type :- Luxury , Price :- 5 , Value :- 11
09/04/2017 06:14:32 PM root   INFO:  11 . Type :- Essential , Price :- 5 , Value :- 12
09/04/2017 06:14:32 PM root   INFO:  12 . Type :- Utility , Price :- 6 , Value :- 24
09/04/2017 06:14:32 PM root   INFO: Lhfaolg has given Bfzrmzs gifts of following type,price and value:-
09/04/2017 06:14:32 PM root   INFO:  1 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  2 . Type :- Luxury , Price :- 1 , Value :- 7
09/04/2017 06:14:32 PM root   INFO:  3 . Type :- Utility , Price :- 1 , Value :- 22
09/04/2017 06:14:32 PM root   INFO:  4 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  5 . Type :- Utility , Price :- 3 , Value :- 35
09/04/2017 06:14:32 PM root   INFO:  6 . Type :- Utility , Price :- 4 , Value :- 26
09/04/2017 06:14:32 PM root   INFO:  7 . Type :- Essential , Price :- 4 , Value :- 29
09/04/2017 06:14:32 PM root   INFO:  8 . Type :- Essential , Price :- 4 , Value :- 27
09/04/2017 06:14:32 PM root   INFO:  9 . Type :- Essential , Price :- 4 , Value :- 20
09/04/2017 06:14:32 PM root   INFO:  10 . Type :- Luxury , Price :- 5 , Value :- 11
09/04/2017 06:14:32 PM root   INFO:  11 . Type :- Essential , Price :- 5 , Value :- 12
09/04/2017 06:14:32 PM root   INFO:  12 . Type :- Utility , Price :- 6 , Value :- 24
09/04/2017 06:14:32 PM root   INFO:  13 . Type :- Utility , Price :- 6 , Value :- 2
09/04/2017 06:14:32 PM root   INFO:  14 . Type :- Luxury , Price :- 7 , Value :- 42
09/04/2017 06:14:32 PM root   INFO:  15 . Type :- Essential , Price :- 7 , Value :- 23
09/04/2017 06:14:32 PM root   INFO:  16 . Type :- Utility , Price :- 7 , Value :- 24
09/04/2017 06:14:32 PM root   INFO:  17 . Type :- Essential , Price :- 7 , Value :- 1
09/04/2017 06:14:32 PM root   INFO:  18 . Type :- Utility , Price :- 7 , Value :- 44
09/04/2017 06:14:32 PM root   INFO: Czgkjrs has given Ettqije gifts of following type,price and value:-
09/04/2017 06:14:32 PM root   INFO:  1 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  2 . Type :- Luxury , Price :- 1 , Value :- 7
09/04/2017 06:14:32 PM root   INFO:  3 . Type :- Utility , Price :- 1 , Value :- 22
09/04/2017 06:14:32 PM root   INFO:  4 . Type :- Essential , Price :- 2 , Value :- 19
09/04/2017 06:14:32 PM root   INFO:  5 . Type :- Utility , Price :- 3 , Value :- 35
09/04/2017 06:14:32 PM root   INFO:  6 . Type :- Utility , Price :- 4 , Value :- 26
09/04/2017 06:14:32 PM root   INFO:  7 . Type :- Essential , Price :- 4 , Value :- 29
09/04/2017 06:14:32 PM root   INFO:  8 . Type :- Essential , Price :- 4 , Value :- 27
09/04/2017 06:14:32 PM root   INFO:  9 . Type :- Essential , Price :- 4 , Value :- 20
09/04/2017 06:14:32 PM root   INFO:  10 . Type :- Luxury , Price :- 5 , Value :- 11
09/04/2017 06:14:32 PM root   INFO:  11 . Type :- Essential , Price :- 5 , Value :- 12
09/04/2017 06:14:32 PM root   INFO:  12 . Type :- Utility , Price :- 6 , Value :- 24
09/04/2017 06:14:32 PM root   INFO:  13 . Type :- Utility , Price :- 6 , Value :- 2
